num_stas,baseline,seed,mean_access_delay,per_sta_throughput
2,Legacy EDCA,42,53.98313253012048,622.5
2,Legacy EDCA,123,53.34299138606108,638.5
2,Legacy EDCA,456,52.28074245939675,646.5
2,ARQ-only NPCA,42,48.52035886818496,724.5
2,ARQ-only NPCA,123,46.736092265943014,737.0
2,ARQ-only NPCA,456,43.50621321124918,764.5
5,Legacy EDCA,42,120.59470198675497,302.0
5,Legacy EDCA,123,126.33704735376044,287.2
5,Legacy EDCA,456,116.16101131071191,300.6
5,ARQ-only NPCA,42,117.61228406909788,312.6
5,ARQ-only NPCA,123,104.8515577275504,327.4
5,ARQ-only NPCA,456,104.15586797066015,327.2
10,Legacy EDCA,42,250.98759791122714,153.2
10,Legacy EDCA,123,228.91473892927957,151.3
10,Legacy EDCA,456,237.22200772200773,155.4
10,ARQ-only NPCA,42,226.37232779097388,168.4
10,ARQ-only NPCA,123,217.10119047619048,168.0
10,ARQ-only NPCA,456,204.32075471698113,164.3
15,Legacy EDCA,42,354.87374371859295,106.13333333333334
15,Legacy EDCA,123,354.5683732987686,102.86666666666666
15,Legacy EDCA,456,366.33040201005025,106.13333333333334
15,ARQ-only NPCA,42,314.87796414112205,115.26666666666667
15,ARQ-only NPCA,123,299.9792654028436,112.53333333333333
15,ARQ-only NPCA,456,299.6886956521739,115.0
20,Legacy EDCA,42,457.29468289557974,78.05
20,Legacy EDCA,123,481.10305343511453,78.6
20,Legacy EDCA,456,455.2694990488269,78.85
20,ARQ-only NPCA,42,413.601166180758,85.75
20,ARQ-only NPCA,123,339.91157649796395,85.95
20,ARQ-only NPCA,456,401.3747790218032,84.85
