ppdu_type,ppdu,qsrc,seed,aggregate_throughput
short,10,0,42,2248
short,10,0,123,2300
short,10,0,456,2252
short,10,1,42,2256
short,10,1,123,2265
short,10,1,456,2217
short,10,2,42,2086
short,10,2,123,2183
short,10,2,456,2146
short,10,3,42,2077
short,10,3,123,1965
short,10,3,456,2000
long,50,0,42,520
long,50,0,123,519
long,50,0,456,523
long,50,1,42,536
long,50,1,123,548
long,50,1,456,504
long,50,2,42,501
long,50,2,123,510
long,50,2,456,531
long,50,3,42,507
long,50,3,123,520
long,50,3,456,515
