qsrc,N_native,seed,trans_throughput,trans_collision_prob,trans_npca_transition_count,native_throughput,native_collision_prob,total_npca_throughput
0,0,42,1300,0.7785094283148758,3120,0,0.0,1300
0,0,123,1252,0.7697704081632653,2900,0,0.0,1252
0,0,456,1303,0.7610169491525424,2900,0,0.0,1303
1,0,42,1289,0.5070521861777151,2840,0,0.0,1289
1,0,123,1309,0.5140740740740741,2700,0,0.0,1309
1,0,456,1258,0.5226526592252134,3019,0,0.0,1258
2,0,42,1230,0.2946145723336853,2840,0,0.0,1230
2,0,123,1222,0.28773584905660377,2640,0,0.0,1222
2,0,456,1261,0.3092896174863388,2659,0,0.0,1261
3,0,42,1232,0.1506276150627615,2800,0,0.0,1232
3,0,123,1183,0.16642547033285093,2698,0,0.0,1183
3,0,456,1175,0.18440779610194902,2680,0,0.0,1175
4,0,42,1131,0.07341269841269842,2700,0,0.0,1131
4,0,123,1123,0.05273833671399594,2740,0,0.0,1123
4,0,456,1151,0.06570841889117043,2840,0,0.0,1151
5,0,42,1070,0.029239766081871343,2680,0,0.0,1070
5,0,123,1019,0.045584045584045586,2979,0,0.0,1019
5,0,456,1034,0.039660056657223795,2840,0,0.0,1034
0,5,42,1213,0.7882136279926335,2640,851,0.21469248291571755,2064
0,5,123,1186,0.8025889967637541,2520,910,0.22984293193717278,2096
0,5,456,1167,0.7984832069339112,2898,887,0.24092582851130984,2054
1,5,42,1170,0.6023916292974589,2860,940,0.2065275548421616,2110
1,5,123,1164,0.5819672131147541,2820,922,0.19408602150537635,2086
1,5,456,1151,0.6012708498808578,2780,938,0.18950749464668093,2089
2,5,42,1072,0.41384388807069217,2800,1013,0.1937561942517344,2085
2,5,123,1071,0.41151685393258425,2659,983,0.1829393627954779,2054
2,5,456,1122,0.38533541341653665,2800,1021,0.1796042617960426,2143
3,5,42,1005,0.30788804071246817,2700,1091,0.17345471969333973,2096
3,5,123,1014,0.32461873638344224,2939,1048,0.17124631992149167,2062
3,5,456,1049,0.3110539845758355,2760,1088,0.15998066698888352,2137
4,5,42,959,0.2318181818181818,2720,1166,0.16863636363636364,2125
4,5,123,919,0.34051724137931033,2820,1170,0.18241469816272965,2089
4,5,456,991,0.22790697674418606,2838,1157,0.15189289012003693,2148
5,5,42,901,0.21505376344086022,2740,1218,0.1652892561983471,2119
5,5,123,946,0.26851851851851855,2759,1197,0.16943957968476359,2143
5,5,456,937,0.21428571428571427,2680,1193,0.17162872154115585,2130
0,10,42,1142,0.8207516864760681,2780,895,0.30274802049371213,2037
0,10,123,1169,0.8106796116504854,2578,924,0.2971014492753623,2093
0,10,456,1185,0.8036135113904164,2580,910,0.3068688670829616,2095
1,10,42,1156,0.6130030959752322,2800,966,0.2825212337952615,2122
1,10,123,1127,0.6086235489220564,2740,973,0.2710655372269282,2100
1,10,456,1200,0.6289308176100629,2580,1012,0.2897631133671743,2212
2,10,42,1065,0.45981308411214955,2480,1103,0.23761544920235098,2168
2,10,123,1081,0.4329073482428115,2680,1021,0.26518391787852863,2102
2,10,456,1068,0.41304347826086957,2878,1020,0.2738907849829352,2088
3,10,42,968,0.38202247191011235,2740,1136,0.2512,2104
3,10,123,983,0.3888888888888889,2859,1144,0.2330335241210139,2127
3,10,456,986,0.3816568047337278,2859,1126,0.24949779027721977,2112
4,10,42,950,0.36649214659685864,2700,1168,0.23736176935229067,2118
4,10,123,979,0.3719806763285024,2700,1190,0.24883540372670807,2169
4,10,456,961,0.2916666666666667,2620,1170,0.24141965678627145,2131
5,10,42,881,0.3,2600,1236,0.23482245131729668,2117
5,10,123,923,0.22,2839,1217,0.24205748865355523,2140
5,10,456,912,0.3191489361702128,2780,1215,0.2398481973434535,2127
0,20,42,1117,0.8152134912091855,2880,943,0.3942878338278932,2060
0,20,123,1148,0.8284697508896797,2759,958,0.40043525571273125,2106
0,20,456,1142,0.8315461777931512,2800,943,0.41231544832553113,2085
1,20,42,1064,0.6574450772986168,2880,994,0.38123893805309733,2058
1,20,123,1116,0.639080459770115,2820,957,0.392662549945514,2073
1,20,456,1104,0.6631234668847097,2819,1000,0.3636698599852616,2104
2,20,42,1067,0.5241935483870968,2420,1147,0.36757466360354446,2214
2,20,123,1058,0.5281803542673108,2760,1082,0.3528176408820441,2140
2,20,456,1054,0.5016129032258064,2719,1060,0.3557658604977217,2114
3,20,42,949,0.4278481012658228,3160,1104,0.36396936396936397,2053
3,20,123,965,0.4880239520958084,2600,1134,0.3502824858757062,2099
3,20,456,993,0.4142857142857143,2640,1122,0.3355749831876261,2115
4,20,42,913,0.39644970414201186,2900,1187,0.33831654208644785,2100
4,20,123,905,0.39634146341463417,2580,1185,0.35026992696094,2090
4,20,456,918,0.3463687150837989,2880,1163,0.3194351042367182,2081
5,20,42,904,0.38961038961038963,2840,1195,0.32468374959455076,2099
5,20,123,820,0.43956043956043955,2980,1223,0.33011272141706927,2043
5,20,456,883,0.4157303370786517,2739,1186,0.32815533980582523,2069
0,30,42,1157,0.8383139351997484,3000,947,0.4842039411948702,2104
0,30,123,1099,0.8436853002070394,2620,940,0.45878594249201277,2039
0,30,456,1147,0.8427526595744681,2819,899,0.4726758793969849,2046
1,30,42,1093,0.6549707602339181,2920,961,0.4283858395582982,2054
1,30,123,1105,0.6827279466271312,2760,971,0.4385009609224856,2076
1,30,456,1084,0.6619127516778524,2760,992,0.42898457583547556,2076
2,30,42,1034,0.5412541254125413,2840,1053,0.4095267553356016,2087
2,30,123,999,0.5804953560371517,2979,1062,0.41507692307692307,2061
2,30,456,990,0.5770676691729323,2619,1095,0.4093939393939394,2085
3,30,42,973,0.48633879781420764,3000,1097,0.4098262432594368,2070
3,30,123,924,0.5274725274725275,2720,1146,0.40433001755412523,2070
3,30,456,914,0.4862068965517241,2899,1123,0.40249702734839476,2037
4,30,42,856,0.43558282208588955,3060,1203,0.4009243212016176,2059
4,30,123,908,0.43137254901960786,2780,1174,0.3932223196026877,2082
4,30,456,954,0.35294117647058826,2680,1204,0.382082468110353,2158
5,30,42,831,0.4027777777777778,2820,1208,0.39110473457675754,2039
5,30,123,891,0.4426229508196721,2640,1209,0.4017405951712521,2100
5,30,456,920,0.40384615384615385,2860,1189,0.40842283776144717,2109
