episode,slot,sta_id,primary_channel_obss_occupied_remained,radio_transition_time,tx_duration,cw_index,action,epsilon,steps_done,reward,tau
1,35,11,66,1,33,1,1,0.8991504248583688,1,10.45,451
1,35,16,66,1,33,1,0,0.8983016988672331,2,12.149999999999999,417
1,591,10,99,1,178,0,0,0.8974538211778671,3,157.6,408
1,591,11,99,1,194,0,1,0.8966067909423928,4,12.599999999999998,408
1,591,12,99,1,161,0,1,0.89576060731378,5,154.6,408
1,591,13,99,1,178,0,0,0.894915269445845,6,62.599999999999994,408
1,591,14,99,1,196,0,1,0.8940707764932498,7,181.2,296
1,591,15,99,1,17,0,0,0.8932271276115016,8,12.599999999999998,408
1,591,16,99,1,109,0,1,0.8923843219569512,9,12.599999999999998,408
1,591,17,99,1,64,0,0,0.8915423586867929,10,54.599999999999994,408
1,591,18,99,1,158,0,1,0.8907012369590634,11,12.599999999999998,408
1,591,19,99,1,139,0,0,0.8898609559326409,12,12.599999999999998,408
9,70,16,66,1,33,1,1,0.8890215147672444,13,8.549999999999997,489
11,130,11,66,1,33,1,0,0.8881829126234326,14,-43.45,869
11,778,14,63,1,36,1,1,0.8873451486626033,15,-11.05,221
19,139,10,99,1,33,0,0,0.8865082220469924,16,26.35,133
19,139,11,99,1,70,0,1,0.8856721319396732,17,30.049999999999997,799
19,139,12,99,1,33,0,0,0.8848368775045556,18,-8.600000000000001,832
19,139,13,99,1,146,0,1,0.8840024579063851,19,122.65,467
19,139,14,99,1,33,0,1,0.883168872310742,20,-5.100000000000001,762
19,139,15,99,1,92,0,1,0.8823361198840407,21,55.6,728
19,139,16,99,1,33,0,0,0.8815041997935286,22,-6.900000000000006,798
19,139,17,99,1,163,0,0,0.8806731112072855,23,131.25,635
19,139,18,99,1,33,0,1,0.879842853294223,24,-6.900000000000006,798
19,139,19,99,1,184,0,0,0.8790134252240828,25,168.1,318
21,70,10,99,1,33,0,1,0.878184826167437,26,-2.0,40
21,70,11,99,1,33,0,1,0.8773570552956863,27,21.0,240
21,70,12,99,1,33,0,1,0.8765301117810599,28,11.799999999999997,424
21,70,13,99,1,33,0,1,0.8757039947966141,29,26.25,135
21,70,14,99,1,33,0,1,0.874878703516232,30,10.099999999999998,458
21,70,15,99,1,33,0,1,0.874054237114622,31,22.7,206
21,70,16,99,1,33,0,0,0.873230594767318,32,8.399999999999999,492
21,70,17,99,1,172,0,1,0.8724077756506773,33,151.45,411
21,70,18,99,1,33,0,1,0.8715857789418806,34,24.45,171
21,70,19,99,1,150,0,1,0.8707646038189315,35,130.55,389
21,111,10,58,1,33,1,0,0.8699442494606546,36,24.75,165
23,37,10,99,1,33,0,0,0.8691247150466955,37,-5.200000000000003,764
23,37,11,99,1,33,0,1,0.8683059997575197,38,26.35,133
23,37,12,99,1,33,0,1,0.8674881027744118,39,15.0,360
23,37,13,99,1,33,0,1,0.8666710232794748,40,-12.600000000000001,912
23,37,14,99,1,33,0,0,0.865854760455629,41,5.049999999999997,559
23,37,15,99,1,84,0,1,0.8650393134866119,42,63.45,411
23,37,16,99,1,33,0,0,0.8642246815569761,43,24.65,167
23,37,17,99,1,33,0,0,0.8634108638520896,44,3.25,595
23,37,18,99,1,33,0,1,0.862597859558135,45,29.6,68
23,37,19,99,1,33,0,0,0.8617856678621075,46,-5.200000000000003,764
23,106,18,30,1,158,0,1,0.8609742879518154,47,145.15,257
30,37,18,66,1,33,1,1,0.8601637190158791,48,-48.1,962
31,873,10,99,1,119,0,0,0.8593539602437291,49,112.7,126
31,873,11,99,1,162,0,0,0.858545010825607,50,166.7,126
31,873,12,99,1,58,0,1,0.8577368699525629,51,189.7,126
31,873,14,99,1,193,0,1,0.8569295368164561,52,117.7,126
31,873,15,99,1,129,0,0,0.8561230106099534,53,135.7,126
31,873,16,99,1,135,0,0,0.8553172905265286,54,26.7,126
31,873,17,99,1,25,0,1,0.8545123757604612,55,81.7,126
31,873,18,99,1,198,0,1,0.8537082655068369,56,191.7,126
31,873,19,99,1,161,0,1,0.8529049589615448,57,18.7,126
31,881,13,91,1,176,1,1,0.8521024553212788,58,-5.9,118
34,107,19,66,1,33,1,1,0.8513007537835348,59,4.449999999999999,571
40,1,10,99,1,33,0,1,0.8504998535466114,60,1.5499999999999972,629
40,1,11,99,1,33,0,1,0.8496997538096083,61,12.25,415
40,1,12,99,1,33,0,1,0.8489004537724256,62,26.2,136
40,1,13,99,1,33,0,0,0.8481019526357633,63,1.5499999999999972,629
40,1,14,99,1,33,0,1,0.84730424960112,64,10.549999999999997,449
40,1,15,99,1,33,0,0,0.846507343870793,65,12.25,415
40,1,16,99,1,33,0,1,0.845711234647876,66,24.5,170
40,1,17,99,1,33,0,0,0.8449159211362601,67,22.75,205
40,1,18,99,1,33,0,0,0.8441214025406315,68,1.5499999999999972,629
40,1,19,99,1,33,0,0,0.8433276780664717,69,20.95,241
45,105,12,66,1,33,1,1,0.842534746920056,70,3.799999999999997,584
51,138,10,99,1,33,0,1,0.8417426083084534,71,26.35,133
51,138,11,99,1,138,0,0,0.8409512614395249,72,107.75,605
51,138,12,99,1,33,0,0,0.8401607055219239,73,-8.5,830
51,138,13,99,1,53,0,0,0.8393709397650941,74,11.5,830
51,138,14,99,1,33,0,1,0.8385819633792699,75,22.85,203
51,138,15,99,1,33,0,1,0.837793775575475,76,26.35,133
51,138,16,99,1,33,0,1,0.837006375565521,77,21.0,240
51,138,17,99,1,172,0,0,0.8362197625620084,78,153.05,379
51,138,18,99,1,109,0,1,0.8354339357783238,79,65.94999999999999,861
51,138,19,99,1,33,0,1,0.8346488944286404,80,24.6,168
